"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 25 13:35:49 COT 2022","Sun Sep 25 13:35:55 COT 2022","5424","","Elements on the list of products and their functions: The categories are presente on the page","","Elements on the list of products and their functions: The categories are presente on the page","Given The user is logged into BetLeague","Given The user is logged into BetLeague",""
"passed","Sat Sep 24 16:57:53 COT 2022","Sat Sep 24 16:57:53 COT 2022","0","","Payment: The page show an error if the user dont have payment saved","","Payment: The page show an error if the user dont have payment saved","","",""
"passed","Sat Sep 24 13:21:52 COT 2022","Sat Sep 24 13:21:52 COT 2022","1","","Elements on User Profile: The user modifies his personal data on the page","","Elements on User Profile: The user modifies his personal data on the page","","",""
"passed","Sat Sep 24 13:21:21 COT 2022","Sat Sep 24 13:21:21 COT 2022","636","","Elements on User Profile: The elements are displayed","","Elements on User Profile: The elements are displayed","And The elipsis with logout option","And The elipsis with logout option","verifiying if Cerrar sesion is Cerrar sesion"
"passed","Tue Sep 27 11:59:08 COT 2022","Tue Sep 27 11:59:13 COT 2022","5021","","Create a product and see on the list: The user create a new product","","Create a product and see on the list: The user create a new product","Then the page will redirect to a form with the options","Then the page will redirect to a form with the options",""
"passed","Sun Sep 25 13:35:55 COT 2022","Sun Sep 25 13:35:56 COT 2022","1040","","Elements on the list of products and their functions: The categories are presente on the page","","Elements on the list of products and their functions: The categories are presente on the page","Then the categories are shown in a list","Then the categories are shown in a list",""
"passed","Mon Sep 26 10:43:21 COT 2022","Mon Sep 26 10:43:22 COT 2022","1050","","Payment: The user creates a new payment method","","Payment: The user creates a new payment method","When the user open the payment create page","When the user open the payment create page",""
"passed","Sun Sep 25 11:20:35 COT 2022","Sun Sep 25 11:20:38 COT 2022","3620","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","Then The page will show the landing page","Then The page will show the landing page",""
"passed","Sat Sep 24 13:21:21 COT 2022","Sat Sep 24 13:21:21 COT 2022","0","","Elements on User Profile: The elements are displayed","","Elements on User Profile: The elements are displayed","","",""
"passed","Sat Sep 24 15:19:19 COT 2022","Sat Sep 24 15:19:19 COT 2022","0","","Elements on the list of products and their functions: Apply Filters","","Elements on the list of products and their functions: Apply Filters","","",""
"passed","Sat Sep 24 15:19:16 COT 2022","Sat Sep 24 15:19:16 COT 2022","43","","Elements on the list of products and their functions: Apply Filters","","Elements on the list of products and their functions: Apply Filters","When the user clicks on clear filter","When the user clicks on clear filter",""
